:ID,:LABEL,policy_number,policy_bind_date,policy_expiry_date,policy_state,policy_status,coverage_csl,bodily_injury_limit,property_damage_limit,deductible_amount,annual_premium,monthly_premium,payment_frequency,total_paid_to_date,umbrella_coverage,umbrella_limit,uninsured_motorist_coverage,medical_payments_coverage,collision_coverage,comprehensive_coverage,endorsements,endorsement_count,multi_policy_discount,safe_driver_discount,loyalty_discount,total_discount_pct,prior_policy_carrier,policy_source_channel,renewal_count,cancellation_reason,last_reviewed_date,underwriter_id,territory_code,rated_drivers_count,rated_vehicles_count
POL-484321,Policy,484321,7/11/1996,7/11/1997,IL,Lapsed,250/500,250K,500K,1000,1152.12,96.01,Quarterly,34563.6,No,0,No,No,Yes,Yes,Custom Parts|Roadside Assistance,2,No,Yes,Yes,18.1,Nationwide,Agent,29,N/A,20/01/2015,UW-2196,TER-IL-26,2,1
POL-795847,Policy,795847,12/17/1995,12/17/1996,IL,Active,100/300,100K,300K,1000,1441.21,120.1,Monthly,36030.25,No,0,Yes,No,Yes,Yes,Rideshare Coverage|Custom Parts|Roadside Assistance,3,No,Yes,Yes,17.5,None - First Policy,Online,24,N/A,18/01/2015,UW-1940,TER-IL-38,2,1
POL-218456,Policy,218456,7/16/2002,7/16/2003,IL,Active,500/1000,500K,1000K,1000,1575.74,131.31,Monthly,32145.1,Yes,7000000,Yes,Yes,Yes,Yes,Gap Coverage|New Car Replacement,2,Yes,No,Yes,14.1,None - First Policy,Agent,19,N/A,3/01/2015,UW-6355,TER-IL-32,1,1
POL-792673,Policy,792673,4/12/2013,4/12/2014,OH,Active,500/1000,500K,1000K,2000,1233.96,102.83,Semi-Annual,15054.31,No,0,Yes,Yes,Yes,Yes,Rideshare Coverage|Rental Reimbursement,2,No,No,Yes,6.9,Progressive,Agent,11,N/A,24/01/2015,UW-2205,TER-OH-55,2,1
POL-662256,Policy,662256,11/13/1995,11/13/1996,IL,Active,250/500,250K,500K,1000,1861.43,155.12,Annual,10424.01,No,0,Yes,Yes,Yes,Yes,None,0,Yes,Yes,Yes,4.1,Progressive,Online,4,N/A,1/01/2015,UW-3209,TER-IL-95,1,1
POL-971338,Policy,971338,11/4/2004,11/4/2005,OH,Active,100/300,100K,300K,1000,1570.86,130.91,Quarterly,49796.26,No,0,No,Yes,Yes,Yes,None,0,Yes,No,Yes,18.9,Progressive,Online,30,N/A,20/01/2015,UW-3368,TER-OH-48,1,1
POL-714738,Policy,714738,3/21/1998,3/21/1999,IL,Active,500/1000,500K,1000K,2000,791.47,65.96,Annual,25643.63,No,0,No,Yes,Yes,Yes,Roadside Assistance,1,No,No,Yes,16.4,State Farm,Phone,31,N/A,27/01/2015,UW-4306,TER-IL-22,1,1
POL-753844,Policy,753844,7/22/1999,7/22/2000,IN,Active,250/500,250K,500K,1000,1012.78,84.4,Semi-Annual,26737.39,No,0,Yes,Yes,No,Yes,Rideshare Coverage,1,Yes,Yes,Yes,13.0,State Farm,Agent,25,N/A,3/01/2015,UW-4052,TER-IN-75,1,1
POL-976645,Policy,976645,2/28/2010,2/28/2011,IL,Active,100/300,100K,300K,500,1047.06,87.25,Quarterly,23035.32,Yes,6000000,Yes,No,Yes,Yes,Rental Reimbursement|Gap Coverage,2,No,No,Yes,22.6,Nationwide,Agent,21,N/A,2/01/2015,UW-3940,TER-IL-42,2,1
POL-918037,Policy,918037,1/30/2005,1/30/2006,OH,Active,250/500,250K,500K,1000,1390.29,115.86,Monthly,2363.49,No,0,Yes,No,Yes,No,Custom Parts|Rental Reimbursement,2,No,No,No,24.7,Nationwide,Agent,0,N/A,26/01/2015,UW-1515,TER-OH-48,1,1
POL-996253,Policy,996253,11/29/2001,11/29/2002,IN,Active,500/1000,500K,1000K,500,951.46,79.29,Semi-Annual,9229.16,No,0,Yes,No,Yes,No,Roadside Assistance|Rideshare Coverage|Custom Parts,3,No,No,Yes,13.5,Allstate,Agent,8,N/A,8/01/2015,UW-5291,TER-IN-97,1,1
POL-373731,Policy,373731,12/24/2012,12/24/2013,IL,Active,100/300,100K,300K,1000,1226.78,102.23,Monthly,22695.43,No,0,No,No,Yes,Yes,Rideshare Coverage|Gap Coverage|Roadside Assistance,3,Yes,Yes,Yes,1.1,State Farm,Agent,17,N/A,4/01/2015,UW-4627,TER-IL-37,1,1
POL-836272,Policy,836272,5/11/1997,5/11/1998,OH,Active,100/300,100K,300K,500,1280.9,106.74,Semi-Annual,46880.94,No,0,Yes,Yes,Yes,Yes,Rental Reimbursement|Rideshare Coverage|New Car Replacement,3,No,No,Yes,15.7,Allstate,Phone,35,N/A,28/01/2015,UW-6668,TER-OH-12,2,1
POL-167231,Policy,167231,1/26/1994,1/26/1995,IN,Pending Renewal,100/300,100K,300K,2000,1472.77,122.73,Quarterly,8100.23,No,0,Yes,No,Yes,Yes,Rental Reimbursement|Roadside Assistance,2,Yes,Yes,Yes,22.4,Nationwide,Online,4,N/A,23/01/2015,UW-7884,TER-IN-56,1,1
POL-743330,Policy,743330,11/4/2010,11/4/2011,OH,Active,500/1000,500K,1000K,1000,1878.44,156.54,Quarterly,20099.31,No,0,Yes,No,Yes,Yes,None,0,No,No,Yes,24.1,None - First Policy,Online,9,N/A,11/01/2015,UW-4185,TER-OH-25,3,1
POL-807369,Policy,807369,6/19/1992,6/19/1993,IN,Active,500/1000,500K,1000K,500,1418.5,118.21,Annual,8227.3,No,0,No,Yes,Yes,Yes,Gap Coverage|Roadside Assistance,2,No,Yes,Yes,1.7,Allstate,Agent,4,N/A,17/01/2015,UW-6988,TER-IN-49,2,1
POL-735307,Policy,735307,6/2/2010,6/2/2011,IL,Active,100/300,100K,300K,500,1532.8,127.73,Annual,37553.6,No,0,Yes,No,Yes,Yes,Gap Coverage,1,Yes,Yes,Yes,18.0,Nationwide,Agent,23,N/A,12/01/2015,UW-4748,TER-IL-71,2,1
POL-789208,Policy,789208,10/12/2002,10/12/2003,OH,Active,250/500,250K,500K,500,1304.35,108.7,Monthly,2086.96,No,0,No,Yes,Yes,No,New Car Replacement,1,Yes,No,No,15.9,Nationwide,Online,0,N/A,14/01/2015,UW-2876,TER-OH-52,1,1
POL-585324,Policy,585324,2/25/2008,2/25/2009,OH,Active,500/1000,500K,1000K,2000,1551.61,129.3,Monthly,24670.6,No,0,Yes,No,Yes,Yes,Roadside Assistance|Rideshare Coverage|Custom Parts,3,No,No,Yes,18.2,Nationwide,Agent,14,N/A,19/01/2015,UW-1812,TER-OH-19,2,1
POL-498759,Policy,498759,9/5/1996,9/5/1997,IL,Active,100/300,100K,300K,1000,1326.98,110.58,Annual,398.09,Yes,6000000,Yes,Yes,Yes,Yes,Custom Parts|Roadside Assistance,2,Yes,No,No,13.9,None - First Policy,Referral,0,N/A,1/01/2015,UW-8789,TER-IL-78,1,1
POL-795004,Policy,795004,3/16/1998,3/16/1999,OH,Active,250/500,250K,500K,500,862.92,71.91,Annual,21400.42,No,0,Yes,No,Yes,Yes,None,0,No,No,Yes,12.4,Nationwide,Agent,23,N/A,9/01/2015,UW-7499,TER-OH-26,3,1
POL-203250,Policy,203250,4/22/2010,4/22/2011,IN,Active,100/300,100K,300K,2000,1331.69,110.97,Annual,25568.45,No,0,Yes,No,Yes,Yes,Roadside Assistance,1,No,No,Yes,5.9,Nationwide,Agent,18,N/A,22/01/2015,UW-4578,TER-IN-68,1,1
POL-430794,Policy,430794,1/25/2008,1/25/2009,OH,Active,250/500,250K,500K,2000,1486.04,123.84,Quarterly,41906.33,No,0,Yes,Yes,Yes,Yes,Custom Parts|Rideshare Coverage|Roadside Assistance,3,No,Yes,Yes,1.7,None - First Policy,Agent,27,N/A,25/01/2015,UW-1641,TER-OH-18,1,1
POL-156636,Policy,156636,9/10/2000,9/10/2001,IN,Active,100/300,100K,300K,1000,870.55,72.55,Quarterly,18977.99,No,0,Yes,No,No,Yes,None,0,No,No,Yes,20.1,Progressive,Referral,20,N/A,26/01/2015,UW-6094,TER-IN-95,1,1
POL-284143,Policy,284143,4/23/2008,4/23/2009,IL,Active,500/1000,500K,1000K,2000,1344.56,112.05,Monthly,36034.21,Yes,6000000,Yes,No,Yes,Yes,Roadside Assistance|Rental Reimbursement|Rideshare Coverage,3,Yes,Yes,Yes,1.7,None - First Policy,Phone,25,N/A,16/01/2015,UW-1589,TER-IL-67,1,1
POL-740518,Policy,740518,2/18/2011,2/18/2012,OH,Active,500/1000,500K,1000K,1000,1377.04,114.75,Semi-Annual,0.0,No,0,Yes,No,Yes,No,None,0,No,No,No,14.9,None - First Policy,Online,0,N/A,25/01/2015,UW-7271,TER-OH-69,2,1
POL-445289,Policy,445289,4/24/2012,4/24/2013,IL,Active,250/500,250K,500K,500,1237.88,103.16,Quarterly,41840.34,No,0,Yes,No,Yes,Yes,New Car Replacement|Rental Reimbursement,2,No,Yes,Yes,15.8,Allstate,Agent,32,N/A,17/01/2015,UW-9900,TER-IL-64,1,1
POL-599262,Policy,599262,9/25/2001,9/25/2002,IN,Active,100/300,100K,300K,1000,1525.86,127.15,Semi-Annual,38604.26,No,0,Yes,Yes,No,No,Rental Reimbursement,1,No,Yes,Yes,21.1,Allstate,Agent,24,N/A,13/01/2015,UW-2136,TER-IN-87,2,1
POL-357949,Policy,357949,5/24/2006,5/24/2007,OH,Active,500/1000,500K,1000K,500,854.58,71.22,Monthly,85.46,No,0,Yes,Yes,No,Yes,None,0,No,No,No,8.4,Nationwide,Phone,0,N/A,4/01/2015,UW-7591,TER-OH-37,2,1
POL-493161,Policy,493161,1/30/1992,1/30/1993,IN,Active,250/500,250K,500K,1000,770.76,64.23,Quarterly,1695.67,No,0,No,Yes,Yes,No,Custom Parts|Rideshare Coverage|Gap Coverage,3,No,No,No,22.6,Nationwide,Online,1,N/A,20/01/2015,UW-3868,TER-IN-92,2,1
POL-320251,Policy,320251,1/24/2009,1/24/2010,IL,Active,100/300,100K,300K,2000,1132.74,94.39,Quarterly,19030.03,No,0,No,No,Yes,Yes,Rideshare Coverage|New Car Replacement,2,Yes,No,Yes,2.9,Nationwide,Agent,15,N/A,5/01/2015,UW-2878,TER-IL-45,2,1
POL-231127,Policy,231127,8/29/1995,8/29/1996,IL,Active,500/1000,500K,1000K,500,1173.37,97.78,Annual,28278.22,Yes,8000000,Yes,Yes,No,Yes,Rental Reimbursement,1,No,Yes,Yes,1.1,None - First Policy,Referral,23,N/A,19/01/2015,UW-2456,TER-IL-73,2,1
POL-766193,Policy,766193,7/31/2011,7/31/2012,OH,Active,100/300,100K,300K,2000,1188.28,99.02,Monthly,6060.23,Yes,6000000,Yes,No,Yes,No,Custom Parts|Gap Coverage|Roadside Assistance,3,No,Yes,Yes,6.0,State Farm,Online,4,N/A,12/01/2015,UW-6818,TER-OH-93,1,1
POL-555374,Policy,555374,1/5/2013,1/5/2014,IL,Active,100/300,100K,300K,1000,876.88,73.07,Annual,24377.26,Yes,6000000,Yes,Yes,Yes,No,Rental Reimbursement,1,No,No,Yes,0.8,State Farm,Agent,26,N/A,21/01/2015,UW-9852,TER-IL-97,2,1
POL-491484,Policy,491484,11/18/1994,11/18/1995,IL,Active,500/1000,500K,1000K,1000,1143.95,95.33,Monthly,1143.95,No,0,No,Yes,Yes,Yes,Custom Parts|New Car Replacement|Rental Reimbursement,3,No,Yes,No,12.5,Allstate,Agent,0,N/A,26/01/2015,UW-2137,TER-IL-77,1,1
POL-925128,Policy,925128,8/30/2014,8/30/2015,IL,Active,100/300,100K,300K,2000,1409.06,117.42,Monthly,10145.23,No,0,Yes,Yes,Yes,Yes,New Car Replacement|Custom Parts|Roadside Assistance,3,No,No,Yes,16.6,Nationwide,Agent,6,N/A,27/01/2015,UW-7671,TER-IL-45,3,1
POL-265093,Policy,265093,1/1/2006,1/1/2007,IN,Active,500/1000,500K,1000K,1000,1070.63,89.22,Annual,7387.35,No,0,Yes,Yes,Yes,Yes,New Car Replacement,1,No,No,Yes,8.3,State Farm,Online,5,N/A,21/01/2015,UW-5471,TER-IN-73,2,1
POL-267808,Policy,267808,9/10/1998,9/10/1999,IL,Active,500/1000,500K,1000K,2000,916.13,76.34,Annual,9619.36,No,0,Yes,Yes,No,Yes,None,0,No,No,Yes,8.8,Allstate,Phone,9,N/A,19/01/2015,UW-4380,TER-IL-55,1,1
POL-116735,Policy,116735,1/28/2010,1/28/2011,OH,Cancelled,250/500,250K,500K,500,1191.5,99.29,Quarterly,20732.1,No,0,No,Yes,Yes,Yes,Roadside Assistance,1,Yes,No,Yes,8.2,Nationwide,Online,16,N/A,2/01/2015,UW-5624,TER-OH-17,1,1
POL-963680,Policy,963680,1/4/2003,1/4/2004,OH,Active,500/1000,500K,1000K,1000,1474.66,122.89,Semi-Annual,34801.98,No,0,Yes,No,Yes,Yes,Rental Reimbursement|Rideshare Coverage,2,No,No,Yes,18.0,State Farm,Online,22,N/A,28/01/2015,UW-6451,TER-OH-33,1,1
POL-445694,Policy,445694,5/24/2004,5/24/2005,IL,Active,250/500,250K,500K,1000,1193.45,99.45,Annual,19333.89,No,0,Yes,Yes,Yes,Yes,Rental Reimbursement|Gap Coverage,2,Yes,Yes,Yes,24.5,State Farm,Agent,15,N/A,20/01/2015,UW-4892,TER-IL-26,1,1
POL-215534,Policy,215534,9/12/1994,9/12/1995,IL,Active,250/500,250K,500K,1000,1437.53,119.79,Annual,21994.21,No,0,No,Yes,Yes,Yes,New Car Replacement|Rideshare Coverage|Rental Reimbursement,3,No,Yes,Yes,0.6,Progressive,Phone,14,N/A,20/01/2015,UW-3984,TER-IL-69,1,1
POL-232854,Policy,232854,7/7/1997,7/7/1998,IL,Active,100/300,100K,300K,2000,1304.83,108.74,Monthly,52062.72,No,0,No,Yes,Yes,Yes,Rental Reimbursement|Roadside Assistance,2,Yes,Yes,Yes,22.9,State Farm,Phone,38,N/A,27/01/2015,UW-8060,TER-IL-91,2,1
POL-168260,Policy,168260,3/1/1991,3/1/1992,OH,Active,250/500,250K,500K,1000,1168.8,97.4,Monthly,27700.56,No,0,No,Yes,Yes,No,New Car Replacement|Gap Coverage|Custom Parts,3,No,No,Yes,13.4,Nationwide,Online,22,N/A,5/01/2015,UW-2821,TER-OH-46,2,1
POL-538955,Policy,538955,9/29/2001,9/29/2002,IN,Active,100/300,100K,300K,1000,1164.97,97.08,Annual,6290.84,No,0,Yes,No,No,No,None,0,Yes,No,Yes,4.6,Nationwide,Referral,4,N/A,21/01/2015,UW-8939,TER-IN-98,2,1
POL-243226,Policy,243226,1/10/2012,1/10/2013,IL,Active,250/500,250K,500K,1000,1232.72,102.73,Annual,22805.32,No,0,No,No,Yes,Yes,None,0,Yes,No,Yes,22.9,Progressive,Online,17,N/A,28/01/2015,UW-2750,TER-IL-25,2,1
POL-246435,Policy,246435,7/5/2001,7/5/2002,IL,Lapsed,250/500,250K,500K,2000,1800.76,150.06,Annual,29352.39,No,0,Yes,Yes,Yes,Yes,Rideshare Coverage,1,No,Yes,Yes,21.9,Allstate,Online,15,N/A,13/01/2015,UW-5814,TER-IL-83,1,1
POL-582480,Policy,582480,8/7/1991,8/7/1992,IL,Active,500/1000,500K,1000K,500,1187.01,98.92,Semi-Annual,25045.91,Yes,7000000,Yes,No,Yes,Yes,None,0,Yes,No,Yes,14.1,Progressive,Referral,20,N/A,7/01/2015,UW-1292,TER-IL-95,1,1
POL-345539,Policy,345539,7/24/2012,7/24/2013,IN,Active,100/300,100K,300K,1000,1559.34,129.94,Annual,36332.62,No,0,Yes,No,No,No,Rental Reimbursement|Rideshare Coverage,2,Yes,No,Yes,4.7,Allstate,Referral,22,N/A,17/01/2015,UW-4560,TER-IN-27,1,1
POL-924318,Policy,924318,7/27/2014,7/27/2015,IL,Pending Renewal,250/500,250K,500K,2000,1137.02,94.75,Annual,454.81,No,0,Yes,No,Yes,Yes,Rental Reimbursement,1,No,No,No,3.3,State Farm,Agent,0,N/A,23/01/2015,UW-8864,TER-IL-59,3,1
POL-726880,Policy,726880,8/8/1994,8/8/1995,IN,Cancelled,100/300,100K,300K,1000,1281.72,106.81,Monthly,23455.48,No,0,Yes,No,Yes,Yes,Custom Parts,1,No,No,Yes,1.7,Nationwide,Phone,17,N/A,16/01/2015,UW-8371,TER-IN-64,1,1
POL-190588,Policy,190588,12/9/2001,12/9/2002,OH,Pending Renewal,100/300,100K,300K,1000,796.35,66.36,Annual,5654.09,No,0,Yes,Yes,Yes,Yes,Rideshare Coverage|New Car Replacement,2,No,No,Yes,0.3,None - First Policy,Agent,6,N/A,7/01/2015,UW-1793,TER-OH-45,1,1
POL-246705,Policy,246705,3/14/1990,3/14/1991,OH,Pending Renewal,250/500,250K,500K,500,1270.02,105.83,Semi-Annual,28194.44,No,0,No,No,Yes,Yes,Gap Coverage,1,Yes,Yes,Yes,15.8,None - First Policy,Phone,21,N/A,3/01/2015,UW-8995,TER-OH-27,1,1
POL-619589,Policy,619589,3/28/2006,3/28/2007,IL,Active,100/300,100K,300K,1000,1383.13,115.26,Semi-Annual,4702.64,No,0,Yes,Yes,Yes,Yes,None,0,No,No,No,4.0,Allstate,Online,2,N/A,5/01/2015,UW-5717,TER-IL-26,2,1
POL-164988,Policy,164988,12/23/2013,12/23/2014,IL,Active,100/300,100K,300K,2000,1290.74,107.56,Annual,33946.46,Yes,5000000,No,Yes,Yes,No,New Car Replacement,1,Yes,Yes,Yes,5.9,Progressive,Agent,25,N/A,9/01/2015,UW-1758,TER-IL-37,2,1
POL-729534,Policy,729534,9/30/1991,9/30/1992,IN,Active,100/300,100K,300K,1000,1216.68,101.39,Quarterly,28956.98,No,0,Yes,No,Yes,No,Rental Reimbursement|Rideshare Coverage|Gap Coverage,3,No,No,Yes,4.8,Progressive,Phone,22,N/A,21/01/2015,UW-1923,TER-IN-24,1,1
POL-505014,Policy,505014,12/27/2001,12/27/2002,IL,Active,100/300,100K,300K,500,1251.16,104.26,Annual,39536.66,No,0,Yes,Yes,Yes,No,Rental Reimbursement|Custom Parts|Gap Coverage,3,No,No,Yes,15.9,Progressive,Agent,30,N/A,23/01/2015,UW-2326,TER-IL-29,3,1
POL-920826,Policy,920826,4/7/2005,4/7/2006,IN,Active,250/500,250K,500K,2000,1586.41,132.2,Quarterly,1903.69,No,0,No,No,Yes,Yes,Rental Reimbursement,1,Yes,Yes,No,11.9,None - First Policy,Online,0,N/A,17/01/2015,UW-9060,TER-IN-30,2,1
POL-534982,Policy,534982,4/8/2003,4/8/2004,IL,Active,500/1000,500K,1000K,2000,1526.11,127.18,Monthly,45020.24,Yes,5000000,Yes,Yes,Yes,Yes,Gap Coverage|Custom Parts|Roadside Assistance,3,No,No,Yes,18.2,State Farm,Agent,28,N/A,18/01/2015,UW-4659,TER-IL-67,1,1
POL-110408,Policy,110408,11/14/2005,11/14/2006,IN,Active,100/300,100K,300K,1000,1028.44,85.7,Annual,29310.54,No,0,Yes,No,Yes,Yes,Custom Parts,1,Yes,No,Yes,19.8,Nationwide,Online,27,N/A,19/01/2015,UW-3301,TER-IN-99,1,1
POL-283052,Policy,283052,1/7/2005,1/7/2006,IL,Active,100/300,100K,300K,1000,1555.94,129.66,Semi-Annual,21938.75,No,0,Yes,No,Yes,Yes,Rental Reimbursement|Custom Parts|Rideshare Coverage,3,No,No,Yes,2.9,Nationwide,Agent,13,N/A,6/01/2015,UW-8244,TER-IL-55,1,1
POL-840806,Policy,840806,2/14/1994,2/14/1995,IN,Active,500/1000,500K,1000K,2000,1570.77,130.9,Annual,44295.71,No,0,No,Yes,Yes,Yes,New Car Replacement,1,No,No,Yes,20.0,Nationwide,Online,27,N/A,4/01/2015,UW-2995,TER-IN-58,1,1
POL-382394,Policy,382394,1/23/1996,1/23/1997,OH,Active,100/300,100K,300K,2000,1170.53,97.54,Quarterly,25283.45,No,0,No,No,Yes,Yes,None,0,No,No,Yes,19.0,Progressive,Agent,20,N/A,4/01/2015,UW-1608,TER-OH-13,1,1
POL-876699,Policy,876699,12/12/1999,12/12/2000,OH,Active,250/500,250K,500K,1000,1099.95,91.66,Monthly,5939.73,No,0,Yes,Yes,Yes,No,Gap Coverage,1,No,Yes,Yes,10.4,Nationwide,Agent,4,N/A,21/01/2015,UW-1121,TER-OH-25,2,1
POL-871432,Policy,871432,7/15/2004,7/15/2005,IL,Active,250/500,250K,500K,2000,1472.43,122.7,Quarterly,31215.52,No,0,Yes,Yes,Yes,Yes,New Car Replacement|Gap Coverage|Custom Parts,3,No,No,Yes,19.2,Progressive,Online,20,N/A,9/01/2015,UW-8380,TER-IL-87,3,1
POL-379882,Policy,379882,11/7/2012,11/7/2013,IL,Lapsed,250/500,250K,500K,500,1275.62,106.3,Monthly,46815.25,No,0,Yes,Yes,Yes,Yes,Custom Parts|Rideshare Coverage|Roadside Assistance,3,Yes,Yes,Yes,9.4,Nationwide,Agent,35,N/A,14/01/2015,UW-9330,TER-IL-77,1,1
POL-852002,Policy,852002,6/29/2009,6/29/2010,IL,Active,250/500,250K,500K,1000,1292.3,107.69,Quarterly,51433.54,No,0,Yes,No,Yes,No,None,0,No,No,Yes,14.5,Progressive,Agent,38,N/A,7/01/2015,UW-6760,TER-IL-23,1,1
POL-372891,Policy,372891,6/26/2000,6/26/2001,IN,Active,250/500,250K,500K,2000,1009.37,84.11,Quarterly,19379.9,No,0,Yes,No,Yes,Yes,Rideshare Coverage|Gap Coverage|Custom Parts,3,Yes,No,Yes,12.6,Allstate,Agent,18,N/A,18/01/2015,UW-1870,TER-IN-57,2,1
POL-689034,Policy,689034,1/9/2002,1/9/2003,OH,Active,500/1000,500K,1000K,500,1093.07,91.09,Semi-Annual,12570.3,Yes,4000000,Yes,No,No,No,Rideshare Coverage,1,Yes,Yes,Yes,23.2,Nationwide,Online,10,N/A,13/01/2015,UW-4926,TER-OH-22,1,1
POL-743092,Policy,743092,11/11/2013,11/11/2014,OH,Active,250/500,250K,500K,1000,1325.44,110.45,Annual,26376.26,Yes,7000000,Yes,Yes,Yes,Yes,None,0,No,Yes,Yes,16.7,Progressive,Agent,18,N/A,25/01/2015,UW-5790,TER-OH-83,3,1
POL-599174,Policy,599174,1/14/2008,1/14/2009,IL,Active,100/300,100K,300K,2000,1017.18,84.77,Quarterly,7934.0,No,0,Yes,Yes,Yes,Yes,New Car Replacement|Custom Parts|Rental Reimbursement,3,No,Yes,Yes,24.2,None - First Policy,Referral,6,N/A,4/01/2015,UW-9122,TER-IL-49,3,1
POL-421092,Policy,421092,3/4/2003,3/4/2004,OH,Active,100/300,100K,300K,1000,1221.17,101.76,Monthly,3785.63,No,0,Yes,Yes,Yes,No,Rideshare Coverage|Custom Parts|Rental Reimbursement,3,Yes,Yes,No,8.8,Allstate,Phone,2,N/A,28/01/2015,UW-1285,TER-OH-47,1,1
POL-349658,Policy,349658,6/7/1994,6/7/1995,IN,Active,100/300,100K,300K,500,1927.87,160.66,Semi-Annual,40870.84,No,0,No,Yes,Yes,No,Gap Coverage|Roadside Assistance|Rental Reimbursement,3,No,Yes,Yes,6.3,Progressive,Phone,20,N/A,13/01/2015,UW-5070,TER-IN-64,1,1
POL-811042,Policy,811042,7/4/2013,7/4/2014,IN,Active,250/500,250K,500K,1000,978.27,81.52,Quarterly,10663.14,No,0,Yes,Yes,Yes,Yes,Roadside Assistance|Rental Reimbursement,2,No,No,Yes,8.1,None - First Policy,Agent,9,N/A,18/01/2015,UW-8311,TER-IN-73,2,1
POL-505316,Policy,505316,6/30/2002,6/30/2003,IN,Active,100/300,100K,300K,2000,1221.14,101.76,Monthly,23445.89,No,0,No,No,Yes,Yes,Rental Reimbursement|Custom Parts|Roadside Assistance,3,Yes,No,Yes,14.5,Allstate,Agent,18,N/A,6/01/2015,UW-3783,TER-IN-46,3,1
POL-116645,Policy,116645,6/30/2004,6/30/2005,OH,Active,100/300,100K,300K,2000,1255.62,104.63,Quarterly,32771.68,No,0,Yes,Yes,Yes,Yes,None,0,Yes,No,Yes,3.2,Allstate,Agent,25,N/A,8/01/2015,UW-3207,TER-OH-38,1,1
POL-950880,Policy,950880,12/19/1998,12/19/1999,IN,Active,250/500,250K,500K,500,999.52,83.29,Semi-Annual,17491.6,No,0,No,Yes,Yes,Yes,Custom Parts|Rideshare Coverage,2,No,Yes,Yes,5.6,Progressive,Agent,16,N/A,12/01/2015,UW-4876,TER-IN-46,2,1
POL-788502,Policy,788502,8/31/2014,8/31/2015,OH,Active,250/500,250K,500K,500,1380.89,115.07,Annual,11599.48,No,0,Yes,No,Yes,Yes,None,0,No,Yes,Yes,16.4,None - First Policy,Phone,7,N/A,27/01/2015,UW-1624,TER-OH-69,1,1
POL-627486,Policy,627486,11/10/2005,11/10/2006,IN,Active,500/1000,500K,1000K,500,1010.77,84.23,Semi-Annual,12937.86,No,0,Yes,Yes,Yes,Yes,Rideshare Coverage|Gap Coverage,2,No,Yes,Yes,22.4,Progressive,Agent,11,N/A,1/01/2015,UW-2439,TER-IN-58,2,1
POL-498842,Policy,498842,5/4/2000,5/4/2001,OH,Active,100/300,100K,300K,500,1205.86,100.49,Annual,33884.67,No,0,Yes,Yes,Yes,Yes,Rideshare Coverage,1,No,No,Yes,12.9,Nationwide,Agent,27,N/A,26/01/2015,UW-1924,TER-OH-38,2,1
POL-550294,Policy,550294,11/26/2001,11/26/2002,IL,Active,500/1000,500K,1000K,1000,1526.61,127.22,Quarterly,45798.3,No,0,Yes,Yes,Yes,Yes,New Car Replacement,1,Yes,No,Yes,7.5,Nationwide,Online,29,N/A,22/01/2015,UW-6190,TER-IL-48,2,1
POL-328387,Policy,328387,5/6/2014,5/6/2015,IL,Active,100/300,100K,300K,1000,1496.44,124.7,Annual,53422.91,No,0,No,No,Yes,Yes,None,0,No,Yes,Yes,2.0,None - First Policy,Agent,34,N/A,5/01/2015,UW-1997,TER-IL-21,2,1
POL-540152,Policy,540152,1/27/1991,1/27/1992,IL,Cancelled,100/300,100K,300K,500,1256.2,104.68,Semi-Annual,21355.4,No,0,Yes,Yes,Yes,Yes,Rideshare Coverage|Rental Reimbursement,2,No,No,Yes,0.5,Allstate,Agent,16,N/A,16/01/2015,UW-3934,TER-IL-93,1,1
POL-385932,Policy,385932,4/28/1992,4/28/1993,IL,Active,100/300,100K,300K,500,1268.35,105.7,Semi-Annual,38431.0,No,0,Yes,No,Yes,Yes,Gap Coverage,1,Yes,No,Yes,5.8,Allstate,Agent,29,N/A,11/01/2015,UW-9388,TER-IL-58,2,1
POL-618682,Policy,618682,3/4/2000,3/4/2001,IN,Lapsed,500/1000,500K,1000K,2000,1421.59,118.47,Monthly,21892.49,No,0,No,Yes,Yes,No,None,0,Yes,Yes,Yes,18.7,State Farm,Referral,14,N/A,2/01/2015,UW-4263,TER-IN-74,1,1
POL-550930,Policy,550930,10/12/1995,10/12/1996,IL,Active,500/1000,500K,1000K,500,1500.04,125.0,Semi-Annual,7800.21,Yes,6000000,No,Yes,Yes,Yes,None,0,No,Yes,Yes,5.5,State Farm,Online,4,N/A,7/01/2015,UW-6733,TER-IL-75,2,1
POL-998192,Policy,998192,4/25/2014,4/25/2015,IL,Pending Renewal,100/300,100K,300K,500,1433.24,119.44,Annual,25081.7,No,0,Yes,Yes,Yes,Yes,Custom Parts,1,No,No,Yes,21.8,Nationwide,Online,16,N/A,8/01/2015,UW-5008,TER-IL-13,1,1
POL-663938,Policy,663938,1/26/2011,1/26/2012,IN,Active,100/300,100K,300K,2000,1231.25,102.6,Semi-Annual,19946.25,No,0,Yes,No,Yes,Yes,None,0,No,Yes,Yes,2.1,None - First Policy,Agent,15,N/A,4/01/2015,UW-6024,TER-IN-58,2,1
